STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/9/2018,0,,,88
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/10/2018,0,,,76
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/11/2018,0,,,78
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/12/2018,0,,,81
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/13/2018,0,,,91
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/14/2018,0,,,88
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/15/2018,0,,,86
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/16/2018,0,,,82
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/17/2018,0.01,,,84
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/18/2018,0.01,,,74
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/19/2018,0,,,73
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/20/2018,0,,,80
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/21/2018,0,,,88
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/22/2018,0,,,80
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/23/2018,0,,,82
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/24/2018,0,,,77
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/25/2018,0,,,88
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/26/2018,0,,,93
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/27/2018,0,,,94
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/28/2018,0,,,89
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/29/2018,0,,,76
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,6/30/2018,0,,,75
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/1/2018,0,,,83
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/2/2018,0,,,90
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/3/2018,0,,,87
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/4/2018,0,,,91
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/5/2018,0,,,93
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/6/2018,0,,,97
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/7/2018,0,,,96
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/8/2018,0.14,,,96
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/9/2018,0,,,95
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/10/2018,0,,,95
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/11/2018,0,,,90
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/12/2018,0,,,91
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/13/2018,0,,,92
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/14/2018,0,,,83
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/15/2018,0,,,92
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/16/2018,0,,,94
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/17/2018,0,,,91
